Número de Série,Modelo,Marca,Ano de Fabricação,Cor,Tipo de Carroceria,Motorização,Transmissão,Data de Produção,País de Fabricação,Preço de Venda,Quantidade Produzida
1001,Sedan,Toyota,2022,Branco,4 portas,2.0L,Automática,2022-01-05,Brasil,35000,100
1002,SUV,Ford,2023,Prata,4 portas,1.5L,CVT,2023-02-10,EUA,40000,120
1003,Hatchback,Volkswagen,2023,Vermelho,2 portas,1.0L,Manual,2023-03-15,Alemanha,25000,80
1004,Sedan,Honda,2022,Azul,4 portas,1.8L,Automática,2022-05-20,Brasil,38000,90
1005,SUV,Hyundai,2023,Preto,4 portas,2.0L,Automática,2023-04-02,Coreia do Sul,42000,110
1006,Hatchback,Chevrolet,2023,Prata,2 portas,1.2L,Manual,2023-06-10,Brasil,23000,70
1007,Sedan,Toyota,2023,Branco,4 portas,1.6L,Automática,2023-02-15,Japão,33000,95
1008,SUV,Ford,2022,Vermelho,4 portas,2.5L,Automática,2022-06-30,EUA,45000,105
1009,Hatchback,Volkswagen,2023,Azul,2 portas,1.0L,Manual,2023-03-25,Alemanha,26000,75
1010,Sedan,Honda,2023,Prata,4 portas,1.5L,Automática,2023-05-08,Brasil,37000,85
1011,SUV,Hyundai,2022,Preto,4 portas,2.0L,Automática,2022-07-18,Coreia do Sul,41000,115
1012,Hatchback,Chevrolet,2023,Azul,2 portas,1.2L,Manual,2023-06-20,Brasil,24000,65
1013,Sedan,Toyota,2023,Vermelho,4 portas,1.8L,Automática,2023-02-25,Japão,34000,100
1014,SUV,Ford,2022,Branco,4 portas,2.5L,Automática,2022-08-05,EUA,46000,110
1015,Hatchback,Volkswagen,2023,Prata,2 portas,1.0L,Manual,2023-04-12,Alemanha,27000,80
1016,Sedan,Honda,2023,Azul,4 portas,1.5L,Automática,2023-06-05,Brasil,38000,90
1017,SUV,Hyundai,2022,Preto,4 portas,2.0L,Automática,2022-09-20,Coreia do Sul,43000,105
1018,Hatchback,Chevrolet,2023,Vermelho,2 portas,1.2L,Manual,2023-07-05,Brasil,25000,70
1019,Sedan,Toyota,2023,Branco,4 portas,1.6L,Automática,2023-03-01,Japão,33000,95
1020,SUV,Ford,2022,Prata,4 portas,2.5L,Automática,2022-10-10,EUA,45000,100
1021,Hatchback,Volkswagen,2023,Azul,2 portas,1.0L,Manual,2023-05-15,Alemanha,26000,80
1022,Sedan,Honda,2023,Preto,4 portas,1.5L,Automática,2023-07-30,Brasil,38000,90
1023,SUV,Hyundai,2022,Vermelho,4 portas,2.0L,Automática,2022-11-20,Coreia do Sul,42000,105
1024,Hatchback,Chevrolet,2023,Prata,2 portas,1.2L,Manual,2023-08-10,Brasil,23000,70
1025,Sedan,Toyota,2023,Branco,4 portas,1.6L,Automática,2023-04-02,Japão,33000,95
1026,SUV,Ford,2022,Vermelho,4 portas,2.5L,Automática,2022-12-15,EUA,45000,100
1027,Hatchback,Volkswagen,2023,Azul,2 portas,1.0L,Manual,2023-06-30,Alemanha,26000,80
1028,Sedan,Honda,2023,Prata,4 portas,1.5L,Automática,2023-09-15,Brasil,38000,90
1029,SUV,Hyundai,2022,Preto,4 portas,2.0L,Automática,2022-01-05,Coreia do Sul,42000,105
1030,Hatchback,Chevrolet,2023,Vermelho,2 portas,1.2L,Manual,2023-02-10,Brasil,23000,70
1031,Sedan,Toyota,2023,Branco,4 portas,1.6L,Automática,2023-03-15,Japão,33000,95
1032,SUV,Ford,2022,Prata,4 portas,2.5L,Automática,2022-04-20,EUA,45000,100
1033,Hatchback,Volkswagen,2023,Azul,2 portas,1.0L,Manual,2023-05-25,Alemanha,26000,80
1034,Sedan,Honda,2023,Preto,4 portas,1.5L,Automática,2023-06-30,Brasil,38000,90
1035,SUV,Hyundai,2022,Vermelho,4 portas,2.0L,Automática,2022-07-05,Coreia do Sul,42000,105
1036,Hatchback,Chevrolet,2023,Prata,2 portas,1.2L,Manual,2023-08-10,Brasil,23000,70
1037,Sedan,Toyota,2023,Branco,4 portas,1.6L,Automática,2023-09-15,Japão,33000,95
1038,SUV,Ford,2022,Prata,4 portas,2.5L,Automática,2022-10-20,EUA,45000,100
1039,Hatchback,Volkswagen,2023,Azul,2 portas,1.0L,Manual,2023-11-25,Alemanha,26000,80
1040,Sedan,Honda,2023,Preto,4 portas,1.5L,Automática,2023-12-30,Brasil,38000,90
1041,SUV,Hyundai,2022,Vermelho,4 portas,2.0L,Automática,2022-02-05,Coreia do Sul,42000,105
1042,Hatchback,Chevrolet,2023,Prata,2 portas,1.2L,Manual,2023-03-10,Brasil,23000,70
1043,Sedan,Toyota,2023,Branco,4 portas,1.6L,Automática,2023-04-15,Japão,33000,95
1044,SUV,Ford,2022,Prata,4 portas,2.5L,Automática,2022-05-20,EUA,45000,100
1045,Hatchback,Volkswagen,2023,Azul,2 portas,1.0L,Manual,2023-06-25,Alemanha,26000,80
1046,Sedan,Honda,2023,Preto,4 portas,1.5L,Automática,2023-07-30,Brasil,38000,90
1047,SUV,Hyundai,2022,Vermelho,4 portas,2.0L,Automática,2022-08-05,Coreia do Sul,42000,105
1048,Hatchback,Chevrolet,2023,Prata,2 portas,1.2L,Manual,2023-09-10,Brasil,23000,70
1049,Sedan,Toyota,2023,Branco,4 portas,1.6L,Automática,2023-10-15,Japão,33000,95
1050,SUV,Ford,2022,Prata,4 portas,2.5L,Automática,2022-11-20,EUA,45000,100
1051,Hatchback,Volkswagen,2023,Azul,2 portas,1.0L,Manual,2023-12-25,Alemanha,26000,80
1052,Sedan,Honda,2023,Preto,4 portas,1.5L,Automática,2023-01-30,Brasil,38000,90
