id,nomeDoProduto,Categoria,detalhes
1,Gol,Hatch,Volkswagen Gol é um carro popular conhecido pela sua economia e versatilidade.
2,Voyage,Sedan,Volkswagen Voyage é um sedan compacto ideal para quem busca conforto e espaço.
3,Corolla,Sedan,Toyota Corolla é um sedan médio reconhecido pela sua confiabilidade e tecnologia.
4,HB20,Hatch,Hyundai HB20 é um hatch moderno e elegante perfeito para a cidade.
5,S10,Pick-up,Chevrolet S10 é uma pick-up robusta e potente pronta para encarar qualquer desafio.
6,Civic,Sedan,Honda Civic é um sedan esportivo com design arrojado e desempenho excepcional.
7,HR-V,SUV,Honda HR-V é um SUV compacto com estilo único e ótimo espaço interno.
8,Fiesta,Hatch,Ford Fiesta é um hatch ágil e econômico perfeito para a cidade.
9,Onix,Hatch,Chevrolet Onix é um hatch moderno e repleto de tecnologia ideal para quem busca conectividade.
10,Golf,Hatch,Volkswagen Golf é um hatch premium conhecido pelo seu desempenho e sofisticação.
11,Palio,Hatch,Fiat Palio é um hatch versátil e confiável ideal para o dia a dia.
12,Renegade,SUV,Jeep Renegade é um SUV compacto com espírito aventureiro e estilo marcante.
13,Tucson,SUV,Hyundai Tucson é um SUV médio com design elegante e conforto excepcional.
14,Uno,Hatch,Fiat Uno é um hatch compacto e econômico perfeito para quem busca praticidade.
15,Prisma,Sedan,Chevrolet Prisma é um sedan espaçoso e confortável ideal para viagens em família.
16,Range Rover,SUV,Range Rover é um SUV de luxo que une desempenho off-road e sofisticação.
17,Ford Ka,Hatch,Ford Ka é um hatch moderno e com ótimo custo-benefício ideal para os jovens.
18,Cruze,Sedan,Chevrolet Cruze é um sedan elegante com tecnologia avançada e desempenho surpreendente.
19,Hilux,Pick-up,Toyota Hilux é uma pick-up resistente e confiável pronta para qualquer desafio.
20,Q3,SUV,Audi Q3 é um SUV premium com design sofisticado e tecnologia de ponta.
21,Polo,Hatch,Volkswagen Polo é um hatch de alta qualidade conhecido pela sua segurança e conforto.
22,Spin,Minivan,Chevrolet Spin é uma minivan espaçosa e versátil ideal para famílias maiores.
23,Fusion,Sedan,Ford Fusion é um sedan de luxo com design arrojado e alta performance.
